NRG Systems SymphoniePRO Desktop Application
Software Version:	3.16.0.24 (build built by CI server 2024-03-14)
2025-07-20 11:26:00	0.382130	0.153765	0.350000	1.115000	0.602450	0.000000	349.860000	43.620000	20.660000	31.633693	0.081928	31.524455	31.787308	60.815430	0.466919	59.547424	62.129211	1011.298367	0.037212	1011.186732	1011.391396	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.681029	0.010617	0.648717	0.715188	0.711033	0.004154	0.701340	0.724420												
2025-07-20 11:28:00	1.427120	0.838440	0.350000	3.410000	2.897450	0.000000	240.270000	44.200000	199.530000	31.613211	0.075101	31.521042	31.773653	64.495850	2.671814	61.079407	69.471741	1011.261155	0.037212	1011.168126	1011.391396	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.689800	0.011540	0.650563	0.711033	0.712418	0.009694	0.690723	0.732267												
2025-07-20 11:30:00	0.522125	0.320535	0.350000	1.115000	1.115000	0.000000	130.190000	64.420000	49.810000	32.026264	0.150201	31.777067	32.302771	64.314270	0.917053	62.983704	65.904236	1011.186732	0.037212	1011.093702	1011.298367	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.711956	0.014771	0.670874	0.736421	0.741960	0.011540	0.720727	0.772426												
2025-07-20 11:32:00	0.642995	0.434520	0.350000	1.880000	1.627550	0.000000	141.930000	62.010000	181.910000	32.586105	0.139960	32.309598	32.760202	64.500427	1.274109	62.463379	66.940308	1011.168126	0.018606	1011.056490	1011.279761	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.746576	0.015694	0.711033	0.775196	0.776580	0.011540	0.751192	0.798276												
2025-07-20 11:34:00	0.962000	0.566100	0.350000	2.645000	2.392550	0.000000	114.220000	70.180000	109.580000	32.767030	0.006827	32.749961	32.787512	62.239075	0.926208	60.153198	64.035034	1011.075096	0.055818	1010.982067	1011.205337	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.756732	0.032774	0.434534	0.782120	0.777504	0.011540	0.749808	0.801507												
2025-07-20 11:36:00	0.822005	0.659430	0.350000	3.410000	2.645000	0.000000	207.890000	82.490000	112.150000	32.917231	0.081928	32.784098	33.040123	62.782288	0.679016	60.488892	63.935852	1011.093702	0.037212	1011.000673	1011.223943	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.777965	0.013848	0.737806	0.802892	0.805661	0.014771	0.776119	0.829664												
2025-07-20 11:38:00	1.675745	0.810135	0.350000	3.410000	2.897450	0.000000	110.490000	45.400000	78.190000	32.995745	0.040964	32.930886	33.057191	63.951111	2.235413	60.560608	68.074036	1011.112308	0.037212	1011.000673	1011.205337	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.802892	0.012463	0.763194	0.823664	0.835204	0.006462	0.815816	0.851821												
2025-07-20 11:40:00	1.446245	0.766530	0.350000	3.410000	3.410000	0.000000	153.650000	59.770000	100.680000	32.917231	0.010241	32.900163	32.934299	65.596008	1.725769	60.879517	68.493652	1011.112308	0.037212	1011.019279	1011.242549	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.830588	0.009694	0.794121	0.853668	0.850436	0.010155	0.826895	0.868900												
2025-07-20 11:42:00	0.700370	0.464355	0.350000	1.880000	1.880000	0.000000	156.410000	64.220000	105.520000	33.050364	0.075101	32.924058	33.152774	62.001038	1.423645	59.982300	66.372681	1011.075096	0.037212	1010.963461	1011.186732	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.832434	0.012925	0.796891	0.866131	0.849975	0.008309	0.828741	0.866131												
2025-07-20 11:44:00	2.192120	1.191870	0.350000	5.705000	4.940000	0.000000	122.190000	35.520000	115.730000	33.033296	0.078514	32.937713	33.159601	66.604614	2.359009	62.509155	71.739197	1011.056490	0.037212	1010.944855	1011.168126	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.836127	0.011540	0.791813	0.858284	0.853668	0.007386	0.838896	0.868900												
2025-07-20 11:46:00	1.873880	1.204110	0.350000	4.940000	4.940000	0.000000	119.650000	39.320000	116.260000	32.831889	0.071687	32.732893	32.951368	65.573120	2.453613	62.500000	71.536255	1011.037885	0.037212	1010.907643	1011.186732	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.823202	0.014310	0.713341	0.850898	0.845820	0.008309	0.824125	0.860592												
2025-07-20 11:48:00	1.529630	0.748170	0.350000	3.410000	3.157550	0.000000	112.540000	42.740000	89.660000	32.729479	0.013655	32.708997	32.760202	64.636230	2.107239	61.363220	69.599915	1010.982067	0.037212	1010.851826	1011.112308	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.817201	0.007386	0.798276	0.830588	0.844436	0.006001	0.825048	0.856899												
2025-07-20 11:50:00	1.229750	0.698445	0.350000	3.410000	2.897450	0.000000	136.210000	35.820000	139.900000	32.879681	0.071687	32.763616	32.988918	63.078308	1.405334	60.955811	65.626526	1010.982067	0.037212	1010.907643	1011.075096	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.821356	0.009694	0.795044	0.848590	0.837050	0.006462	0.822740	0.849975												
2025-07-20 11:52:00	1.159370	1.046520	0.350000	4.940000	4.427450	0.000000	128.930000	62.320000	127.610000	33.077673	0.037550	32.992332	33.156188	63.940430	2.603149	61.158752	70.515442	1010.982067	0.037212	1010.851826	1011.075096	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.829203	0.011078	0.799199	0.854129	0.836127	0.006462	0.821356	0.855976												
2025-07-20 11:54:00	2.199005	0.959310	0.350000	4.940000	4.427450	0.000000	112.600000	31.190000	127.610000	33.111810	0.081928	32.930886	33.197152	65.632629	3.260803	61.294556	70.928955	1011.000673	0.037212	1010.907643	1011.112308	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.818586	0.016156	0.768272	0.855052	0.829664	0.004616	0.817201	0.840743												
2025-07-20 11:56:00	1.599245	0.858330	0.350000	4.175000	3.662450	0.000000	110.190000	58.160000	135.690000	32.770443	0.078514	32.661206	32.934299	65.092468	2.598572	61.062622	69.265747	1011.037885	0.018606	1010.926249	1011.130914	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.795044	0.009232	0.763194	0.813508	0.813047	0.007386	0.797814	0.830126												
2025-07-20 11:58:00	2.026880	0.931770	0.350000	4.175000	4.175000	0.000000	105.780000	43.640000	119.160000	32.565623	0.037550	32.534900	32.661206	62.358093	2.337646	58.676147	67.666626	1010.982067	0.037212	1010.870432	1011.093702	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.787659	0.010617	0.748884	0.810739	0.809816	0.006924	0.791352	0.821356												
2025-07-20 12:00:00	3.301370	1.110015	1.115000	5.705000	5.452550	0.000000	105.820000	41.440000	103.850000	32.449559	0.078514	32.309598	32.569037	67.300415	2.462769	61.900330	70.622253	1010.926249	0.037212	1010.814614	1011.056490	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.770118	0.010617	0.740576	0.789044	0.799199	0.008770	0.773349	0.816278												
2025-07-20 12:02:00	1.740005	0.898110	0.350000	4.940000	4.687550	0.000000	98.190000	70.680000	44.210000	32.237911	0.023896	32.210602	32.309598	64.199829	2.159119	60.758972	69.976807	1010.870432	0.037212	1010.721585	1011.000673	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.762271	0.010617	0.729959	0.782120	0.780273	0.006462	0.764117	0.795506												
2025-07-20 12:04:00	1.274120	1.094715	0.350000	4.175000	4.175000	0.000000	162.900000	82.140000	121.900000	32.364217	0.075101	32.272048	32.521246	61.174011	1.501465	58.670044	64.938354	1010.833220	0.037212	1010.721585	1010.944855	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.759040	0.011540	0.726728	0.795506	0.774734	0.006462	0.761348	0.790428												
2025-07-20 12:06:00	1.051505	0.725985	0.350000	3.410000	2.897450	0.000000	192.600000	72.810000	180.440000	32.708997	0.085342	32.524659	32.814821	59.999084	1.805115	57.505798	63.177490	1010.870432	0.018606	1010.740190	1010.982067	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.766887	0.011540	0.730882	0.787197	0.783504	0.005539	0.768272	0.794583												
2025-07-20 12:08:00	1.197620	0.633420	0.350000	3.410000	2.897450	0.000000	186.890000	68.620000	183.200000	32.719238	0.027309	32.674861	32.763616	59.164429	1.112366	57.369995	62.405396	1010.870432	0.018606	1010.758796	1010.982067	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.770118	0.011078	0.738729	0.796429	0.792736	0.006462	0.773349	0.805661												
2025-07-20 12:10:00	1.044620	0.634950	0.350000	2.645000	2.392550	0.000000	153.610000	55.840000	88.200000	32.623656	0.034137	32.582692	32.685102	63.055420	1.721191	60.272217	66.651917	1010.889038	0.018606	1010.833220	1011.000673	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.776580	0.009694	0.748884	0.796429	0.790428	0.008309	0.766887	0.806123												
2025-07-20 12:12:00	0.795995	0.654840	0.350000	2.645000	2.645000	0.000000	162.340000	79.000000	196.120000	32.664620	0.051205	32.582692	32.767030	60.186768	0.732422	58.784485	61.958313	1010.926249	0.018606	1010.851826	1011.019279	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.781658	0.012002	0.751192	0.804738	0.794121	0.008309	0.775196	0.813508												
2025-07-20 12:14:00	1.006370	0.613530	0.350000	2.645000	2.392550	0.000000	155.250000	93.030000	88.100000	32.869440	0.058032	32.763616	32.954781	60.836792	1.956177	57.905579	63.571167	1010.926249	0.018606	1010.814614	1011.037885	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.781196	0.012463	0.745653	0.812585	0.797814	0.009232	0.778427	0.813970												
2025-07-20 12:16:00	0.841130	0.532440	0.350000	1.880000	1.880000	0.000000	172.760000	79.780000	192.870000	32.900163	0.027309	32.862612	32.954781	59.017944	0.904846	57.653809	60.774231	1010.926249	0.018606	1010.851826	1011.037885	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.777965	0.014771	0.731344	0.801968	0.787197	0.006924	0.771503	0.807046												
2025-07-20 12:18:00	0.662120	0.449055	0.350000	1.880000	1.880000	0.000000	233.800000	63.020000	197.440000	32.982091	0.068273	32.879681	33.101569	58.427429	0.735474	56.117249	59.617615	1010.870432	0.018606	1010.758796	1010.963461	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.777504	0.011540	0.736421	0.815355	0.790428	0.006001	0.776580	0.804738												
2025-07-20 12:20:00	1.057625	0.680850	0.350000	2.645000	2.645000	0.000000	198.530000	51.380000	203.930000	33.053778	0.058032	32.906990	33.122051	57.957458	0.846863	56.164551	60.365295	1010.870432	0.018606	1010.796008	1010.944855	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.772426	0.009232	0.738268	0.799199	0.784889	0.007386	0.768272	0.799660												
2025-07-20 12:22:00	0.962000	0.778005	0.350000	3.410000	3.410000	0.000000	152.370000	83.870000	197.620000	32.681688	0.126306	32.435904	32.900163	57.910156	0.875854	56.269836	60.116577	1010.833220	0.018606	1010.740190	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.756732	0.018002	0.590555	0.777965	0.764117	0.009232	0.741037	0.780273												
2025-07-20 12:24:00	1.115000	0.515610	0.350000	2.645000	2.132450	0.000000	179.140000	69.900000	104.550000	32.214016	0.139960	31.964818	32.435904	59.550476	1.574707	56.272888	62.377930	1010.851826	0.037212	1010.758796	1010.944855	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.736421	0.009694	0.698570	0.757193	0.748423	0.008770	0.730882	0.766425												
2025-07-20 12:26:00	0.962000	0.592110	0.350000	3.410000	3.157550	0.000000	226.340000	73.110000	207.440000	31.753171	0.102410	31.582488	31.957991	58.525085	1.753235	55.668640	60.623169	1010.833220	0.018606	1010.721585	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.719804	0.010155	0.690723	0.750269	0.730882	0.007847	0.710572	0.746576												
2025-07-20 12:28:00	1.414880	0.770355	0.350000	4.175000	3.662450	0.000000	175.020000	70.200000	183.120000	31.329876	0.139960	31.101161	31.575660	61.251831	1.600647	57.070923	63.786316	1010.814614	0.037212	1010.740190	1010.944855	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.699955	0.012925	0.660257	0.729959	0.709187	0.010155	0.683337	0.731805												
2025-07-20 12:30:00	0.757745	0.610470	0.350000	3.410000	2.645000	0.000000	239.540000	64.390000	102.180000	30.957787	0.061446	30.879273	31.097747	60.363770	0.598145	58.270264	61.705017	1010.814614	0.018606	1010.740190	1010.889038	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.696262	0.010617	0.666719	0.722112	0.704109	0.005539	0.682414	0.716111												
2025-07-20 12:32:00	0.904625	0.650250	0.350000	3.410000	2.897450	0.000000	222.090000	74.960000	163.390000	30.756381	0.061446	30.664212	30.879273	61.495972	0.993347	59.925842	63.307190	1010.833220	0.037212	1010.721585	1010.944855	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.684722	0.008770	0.655641	0.709648	0.703186	0.012463	0.681952	0.732267												
2025-07-20 12:34:00	0.623870	0.429930	0.350000	1.880000	1.627550	0.000000	184.290000	84.050000	100.230000	30.619834	0.017068	30.589111	30.667625	62.321472	0.578308	61.685181	63.722229	1010.814614	0.018606	1010.702979	1010.926249	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.672259	0.012925	0.633023	0.701340	0.696262	0.006462	0.677336	0.708725												
2025-07-20 12:36:00	0.910745	0.677790	0.350000	2.645000	2.392550	0.000000	90.280000	72.360000	22.240000	30.490115	0.037550	30.455978	30.589111	63.217163	1.037598	61.088562	65.740967	1010.833220	0.037212	1010.740190	1010.926249	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.675490	0.008770	0.639947	0.694877	0.700878	0.009694	0.681491	0.728574												
2025-07-20 12:38:00	1.497500	0.774945	0.350000	3.410000	3.410000	0.000000	171.320000	63.280000	119.160000	30.384291	0.061446	30.254572	30.469633	65.864563	2.116394	61.692810	70.050049	1010.870432	0.037212	1010.721585	1011.000673	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.670412	0.011540	0.643639	0.694416	0.691184	0.012002	0.665335	0.712880												
2025-07-20 12:40:00	0.585620	0.368730	0.350000	1.880000	1.367450	0.000000	215.520000	34.550000	244.800000	30.179471	0.030723	30.145334	30.257985	64.140320	0.682068	63.316345	66.076660	1010.907643	0.037212	1010.814614	1011.037885	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.660257	0.010617	0.623329	0.679183	0.681491	0.006924	0.663027	0.694416												
2025-07-20 12:42:00	0.426500	0.230265	0.350000	1.115000	1.115000	0.000000	73.690000	37.800000	36.510000	30.131680	0.003414	30.121439	30.155575	63.256836	0.311279	62.606812	63.912964	1010.926249	0.037212	1010.851826	1011.019279	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.656103	0.008770	0.626560	0.678259	0.675951	0.012463	0.655179	0.702263												
2025-07-20 12:44:00	0.598625	0.373320	0.350000	1.880000	1.367450	0.000000	234.590000	54.560000	202.430000	30.118025	0.006827	30.104370	30.138507	63.639832	0.199890	63.182068	64.094543	1010.889038	0.018606	1010.833220	1011.000673	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.647794	0.011078	0.614097	0.669489	0.678721	0.006924	0.660257	0.700416												
2025-07-20 12:46:00	1.191500	0.448290	0.350000	1.880000	1.880000	0.000000	236.560000	18.910000	223.470000	30.148748	0.013655	30.118025	30.179471	65.136719	0.553894	63.935852	66.558838	1010.870432	0.018606	1010.777402	1010.963461	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.644101	0.011078	0.606250	0.671335	0.661642	0.006924	0.642255	0.677798												
2025-07-20 12:48:00	0.528245	0.367200	0.350000	1.880000	1.627550	0.000000	249.570000	17.130000	264.370000	30.193126	0.013655	30.172644	30.220435	65.486145	0.624084	64.376831	66.558838	1010.814614	0.018606	1010.740190	1010.889038	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.646409	0.013386	0.609481	0.674105	0.666258	0.004154	0.654256	0.674105												
2025-07-20 12:50:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	233.760000	36.740000	180.000000	30.251158	0.023896	30.213608	30.298949	65.026855	0.224304	64.585876	65.345764	1010.833220	0.037212	1010.702979	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.634407	0.013848	0.596095	0.661642	0.660257	0.008770	0.637177	0.676875												
2025-07-20 12:52:00	0.350000	0.000000	0.350000	0.350000	0.350000	0.000000	202.630000	80.660000	180.000000	30.339913	0.020482	30.298949	30.377464	64.675903	0.143433	64.395142	64.964294	1010.796008	0.037212	1010.702979	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.632561	0.011078	0.597941	0.652871	0.661180	0.006462	0.648717	0.678259												
2025-07-20 12:54:00	0.470870	0.280755	0.350000	1.115000	1.115000	0.000000	198.150000	53.070000	273.930000	30.404773	0.017068	30.367223	30.442323	65.209961	0.230408	64.721680	65.849304	1010.796008	0.037212	1010.665767	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.635792	0.013386	0.593787	0.666719	0.652410	0.008309	0.633023	0.665796												
2025-07-20 12:56:00	0.387485	0.166770	0.350000	1.115000	0.862550	0.000000	189.060000	58.110000	205.770000	30.462805	0.010241	30.442323	30.483287	64.871216	0.128174	64.686584	65.136719	1010.777402	0.037212	1010.702979	1010.833220	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.629330	0.008770	0.603942	0.646409	0.662565	0.005539	0.651487	0.671797												
2025-07-20 12:58:00	0.439505	0.246330	0.350000	1.115000	0.862550	0.000000	269.410000	22.550000	266.670000	30.490115	0.010241	30.469633	30.507183	65.187073	0.254822	64.689636	65.643311	1010.833220	0.018606	1010.740190	1010.926249	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.628407	0.014310	0.582247	0.651487	0.663027	0.007386	0.645947	0.677336												
2025-07-20 13:00:00	0.375245	0.137700	0.350000	1.115000	0.862550	0.000000	320.200000	59.180000	267.620000	30.428669	0.027309	30.391118	30.473046	65.235901	0.332642	64.799500	65.951538	1010.851826	0.018606	1010.796008	1010.963461	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.634869	0.031389	0.304825	0.659795	0.654718	0.007847	0.633946	0.669951												
2025-07-20 13:02:00	0.439505	0.300645	0.350000	1.880000	1.627550	0.000000	330.530000	88.660000	33.620000	30.411600	0.006827	30.394532	30.432082	64.859009	0.154114	64.498901	65.507507	1010.870432	0.018606	1010.796008	1010.982067	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.630715	0.028619	0.358370	0.659334	0.657487	0.005539	0.642716	0.669027												
2025-07-20 13:04:00	1.134125	0.638775	0.350000	2.645000	2.132450	0.000000	3.180000	24.330000	25.930000	30.254572	0.085342	30.053165	30.394532	67.227173	0.753784	65.638733	68.858337	1010.833220	0.018606	1010.740190	1010.907643	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.628868	0.010617	0.593325	0.657949	0.653333	0.007386	0.632099	0.670412												
2025-07-20 13:06:00	0.809000	0.489600	0.350000	1.880000	1.880000	0.000000	333.690000	30.370000	334.230000	29.769831	0.157029	29.527461	30.049752	67.266846	0.746155	66.284180	68.807983	1010.833220	0.018606	1010.758796	1010.926249	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.631176	0.009232	0.596095	0.650563	0.661642	0.008309	0.644101	0.683337												
2025-07-20 13:08:00	0.738620	0.650250	0.350000	2.645000	2.645000	0.000000	351.290000	31.330000	347.030000	29.384087	0.078514	29.250954	29.524047	66.963196	0.390625	66.484070	67.933655	1010.777402	0.037212	1010.684373	1010.870432	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.630715	0.012463	0.591479	0.664873	0.653795	0.008309	0.629791	0.669489												
2025-07-20 13:10:00	0.955880	0.594405	0.350000	2.645000	2.132450	0.000000	357.280000	57.400000	2.270000	29.141717	0.081928	28.984688	29.254368	67.546082	0.592041	66.488647	68.937683	1010.721585	0.037212	1010.628555	1010.833220	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.631176	0.009694	0.603019	0.654256	0.659334	0.006001	0.640870	0.673643												
2025-07-20 13:12:00	0.719495	0.454410	0.350000	1.880000	1.627550	0.000000	7.500000	30.810000	31.690000	28.882278	0.040964	28.814005	28.981274	67.562866	0.421143	66.891479	68.499756	1010.702979	0.037212	1010.591343	1010.814614	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.620559	0.012002	0.585016	0.661180	0.654718	0.009694	0.633023	0.674567												
2025-07-20 13:14:00	1.006370	0.770355	0.350000	2.645000	2.645000	0.000000	41.070000	36.740000	31.600000	28.810591	0.013655	28.752559	28.834487	67.877197	0.689697	66.999817	69.667053	1010.684373	0.018606	1010.609949	1010.777402	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.625637	0.009232	0.585939	0.647794	0.660257	0.006462	0.643639	0.673643												
2025-07-20 13:16:00	1.261880	0.723690	0.350000	2.645000	2.392550	0.000000	16.540000	13.360000	19.880000	28.585289	0.078514	28.496534	28.755972	69.401550	0.509644	68.278503	70.053101	1010.647161	0.037212	1010.572738	1010.758796	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.620098	0.009232	0.591479	0.642255	0.656103	0.005078	0.644563	0.669027												
2025-07-20 13:18:00	0.948995	0.612765	0.350000	1.880000	1.880000	0.000000	20.130000	11.290000	17.690000	28.455570	0.020482	28.431674	28.499947	68.948364	0.636292	67.994690	70.068359	1010.591343	0.018606	1010.516920	1010.684373	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.625637	0.011540	0.582247	0.651025	0.662565	0.006924	0.645947	0.674567												
2025-07-20 13:20:00	0.489995	0.343485	0.350000	1.880000	1.627550	0.000000	346.210000	33.830000	299.400000	28.479465	0.023896	28.438501	28.520429	68.060303	0.131226	67.784119	68.414307	1010.554132	0.018606	1010.498314	1010.647161	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.626099	0.009694	0.597018	0.657026	0.648717	0.012463	0.614559	0.669489												
2025-07-20 13:22:00	0.369125	0.120105	0.350000	1.115000	0.862550	0.000000	323.230000	24.750000	293.780000	28.564807	0.034137	28.517016	28.639908	68.145752	0.308228	67.762756	68.667603	1010.516920	0.037212	1010.442496	1010.609949	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.630715	0.009232	0.595633	0.651487	0.650102	0.011540	0.619636	0.669951												
2025-07-20 13:24:00	0.726380	0.443700	0.350000	1.880000	1.627550	0.000000	317.180000	14.940000	325.800000	28.684285	0.017068	28.643321	28.711595	68.298340	0.457764	67.773438	69.171143	1010.461102	0.037212	1010.368073	1010.554132	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.622406	0.014771	0.580400	0.659334	0.651487	0.003693	0.640870	0.659334												
2025-07-20 13:26:00	0.707255	0.407745	0.350000	1.880000	1.627550	0.000000	337.940000	23.260000	321.500000	28.629667	0.023896	28.602357	28.680872	68.446350	0.512695	67.510986	69.166565	1010.423890	0.018606	1010.330861	1010.535526	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.620098	0.011540	0.577169	0.638100	0.647794	0.006462	0.632099	0.662565												
2025-07-20 13:28:00	0.809000	0.459000	0.350000	1.880000	1.627550	0.000000	8.390000	61.660000	23.560000	28.612598	0.013655	28.598944	28.656976	67.958069	0.308228	67.570496	68.759155	1010.405285	0.018606	1010.330861	1010.498314	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.623791	0.013848	0.580862	0.648255	0.653795	0.009232	0.638100	0.679183												
2025-07-20 13:30:00	0.573380	0.348840	0.350000	1.115000	1.115000	0.000000	318.210000	28.130000	330.540000	28.735490	0.034137	28.656976	28.776454	68.595886	0.323486	68.098450	69.270325	1010.405285	0.018606	1010.330861	1010.516920	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.627022	0.010617	0.597941	0.657949	0.654256	0.009694	0.632561	0.677336												
2025-07-20 13:32:00	0.413495	0.212670	0.350000	1.115000	0.862550	0.000000	337.150000	32.730000	283.240000	28.783282	0.017068	28.759386	28.820832	68.061829	0.227356	67.668152	68.508911	1010.368073	0.037212	1010.275043	1010.479708	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.621944	0.009232	0.590555	0.650563	0.658872	0.006924	0.640870	0.673182												
2025-07-20 13:34:00	0.923750	0.457470	0.350000	1.880000	1.880000	0.000000	4.740000	29.340000	344.570000	28.861796	0.034137	28.810591	28.926656	68.937683	0.257874	68.482971	69.361877	1010.312255	0.037212	1010.237832	1010.442496	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.622867	0.011540	0.584093	0.646409	0.653333	0.007386	0.639485	0.670874												
2025-07-20 13:36:00	0.789875	0.557685	0.350000	1.880000	1.880000	0.000000	20.510000	20.420000	32.830000	28.967620	0.023896	28.923242	29.022238	68.817139	0.439453	68.196106	70.063782	1010.275043	0.037212	1010.182014	1010.386679	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.624252	0.009232	0.596095	0.643639	0.661180	0.007847	0.640870	0.677798												
2025-07-20 13:38:00	0.579500	0.351900	0.350000	1.115000	1.115000	0.000000	337.210000	23.990000	312.910000	29.083684	0.030723	29.018825	29.145130	67.939758	0.233459	67.599487	68.458557	1010.237832	0.037212	1010.126196	1010.349467	-45.490000	0.000000	-45.490000	-45.490000	-45.490000	0.000000	-45.490000	-45.490000	0.619175	0.009232	0.595171	0.654256	0.658411	0.009232	0.635331	0.680106												
